Full, log(Age), M,log(Teff),Mbol, Mv,(U-B)o,(B-V)o,(V-R)o,(V-I)o,(V-J)o
1,10.300,0.6000,3.599,7.57,8.58,1.08,1.34,0.84,1.60,2.58
2,10.300,0.6200,3.610,7.39,8.32,1.04,1.30,0.81,1.52,2.47
3,10.300,0.6400,3.621,7.20,8.04,1.01,1.26,0.79,1.45,2.35
4,10.300,0.6600,3.632,7.02,7.76,0.97,1.21,0.76,1.38,2.23
5,10.300,0.6800,3.644,6.82,7.47,0.91,1.15,0.72,1.30,2.12
6,10.300,0.6950,3.653,6.67,7.25,0.87,1.11,0.68,1.24,2.02
7,10.300,0.7150,3.665,6.47,6.97,0.79,1.06,0.64,1.17,1.91
8,10.300,0.7300,3.674,6.31,6.74,0.73,1.02,0.60,1.12,1.82
9,10.300,0.7450,3.684,6.15,6.52,0.67,0.98,0.57,1.07,1.73
10,10.300,0.7600,3.693,5.98,6.30,0.61,0.94,0.54,1.01,1.64
11,10.300,0.7750,3.703,5.80,6.06,0.54,0.90,0.51,0.96,1.56
12,10.300,0.7900,3.712,5.61,5.83,0.48,0.87,0.49,0.92,1.48
13,10.300,0.8050,3.720,5.41,5.60,0.43,0.84,0.47,0.88,1.42
14,10.300,0.8200,3.727,5.22,5.39,0.38,0.81,0.45,0.85,1.37
15,10.300,0.8350,3.732,5.00,5.15,0.35,0.79,0.44,0.83,1.34
16,10.300,0.8387,3.733,4.94,5.09,0.34,0.79,0.44,0.83,1.33
17,10.300,0.8478,3.733,4.79,4.93,0.34,0.79,0.44,0.83,1.32
18,10.300,0.8565,3.731,4.63,4.78,0.35,0.80,0.44,0.83,1.34
19,10.300,0.8645,3.723,4.47,4.65,0.41,0.83,0.46,0.87,1.40
20,10.300,0.8717,3.698,4.32,4.60,0.59,0.94,0.51,0.98,1.59
21,10.300,0.8723,3.694,4.30,4.60,0.62,0.95,0.53,0.99,1.63
22,10.300,0.8742,3.682,4.15,4.51,0.70,1.00,0.56,1.05,1.72
23,10.300,0.8750,3.679,4.06,4.44,0.73,1.01,0.57,1.07,1.75
24,10.300,0.8760,3.676,3.90,4.31,0.76,1.03,0.58,1.08,1.78
25,10.300,0.8770,3.674,3.72,4.14,0.78,1.04,0.58,1.09,1.80
26,10.300,0.8778,3.672,3.56,3.98,0.80,1.05,0.59,1.10,1.82
27,10.300,0.8786,3.670,3.36,3.80,0.81,1.06,0.59,1.11,1.83
28,10.300,0.8792,3.669,3.20,3.65,0.83,1.07,0.60,1.11,1.85
29,10.300,0.8797,3.667,3.05,3.50,0.85,1.08,0.60,1.12,1.86
30,10.300,0.8802,3.665,2.89,3.35,0.86,1.08,0.60,1.13,1.87
31,10.300,0.8806,3.664,2.74,3.20,0.88,1.09,0.61,1.13,1.88
32,10.300,0.8810,3.662,2.55,3.03,0.90,1.10,0.61,1.14,1.90
33,10.300,0.8813,3.660,2.40,2.89,0.92,1.11,0.62,1.15,1.91
34,10.300,0.8816,3.658,2.23,2.73,0.94,1.13,0.62,1.16,1.94
35,10.300,0.8819,3.655,2.05,2.57,0.98,1.14,0.63,1.18,1.96
36,10.300,0.8822,3.652,1.86,2.40,1.01,1.16,0.64,1.19,1.99
37,10.300,0.8824,3.650,1.75,2.30,1.03,1.17,0.64,1.20,2.01
38,10.300,0.8826,3.652,1.80,2.34,1.01,1.16,0.64,1.19,1.99
39,10.300,0.8828,3.649,1.64,2.20,1.05,1.18,0.65,1.21,2.02
40,10.300,0.8830,3.646,1.46,2.04,1.09,1.20,0.66,1.23,2.05
41,10.300,0.8831,3.643,1.30,1.91,1.12,1.21,0.67,1.24,2.08
42,10.300,0.8833,3.640,1.12,1.75,1.16,1.23,0.68,1.26,2.11
43,10.300,0.8834,3.637,0.97,1.63,1.20,1.25,0.69,1.28,2.14
