NGC4755_1,Arp_1,RAJ2000,DEJ2000,pmRA,pmDE,recno_1,NGC4755_2,Arp_2,x,y,Vmag,B-V,recno_2
2,105,12 53 39.188,-60 21 12.44,-3.14,-6.59,1,2,105,1123.143,1032.618,8.662,0.135,2
3,6,12 53 57.547,-60 24 58.12,2.73,-0.09,2,3,6,551.276,1384.314,9.012,0.106,3
4,201,12 53 52.031,-60 22 15.44,-2.75,-6.08,3,4,201,964.454,1276.759,9.384,0.162,4
7,307,12 53 52.258,-60 22 27.50,-1.67,-2.31,4,7,307,934.016,1281.41,9.603,0.156,7
8,418,12 53 35.508,-60 23 46.44,2.63,-0.05,5,8,418,730.325,966.341,9.681,0.152,8
9,7,12 53 20.695,-60 23 16.75,2.94,3.08,6,9,7,803.991,685.367,9.735,0.162,9
10,0,12 53 39.000,-60 23 43.44,1.53,0.42,7,10,0,738.586,1032.234,9.753,0.25,10
11,301,12 53 43.930,-60 22 29.25,-2.92,2.68,8,11,301,928.905,1123.311,9.759,0.122,11
12,331,12 53 59.844,-60 26 20.00,0.65,2.34,9,12,331,341.916,1428.58,9.914,1.344,12
13,306,12 53 51.609,-60 23 16.62,-2.68,-2.12,10,13,306,808.764,1269.777,9.983,0.271,13
14,9,12 53 47.031,-60 18 35.56,2.06,-0.16,11,14,9,1525.658,1177.683,10.023,0.138,14
15,202,12 53 51.797,-60 21 58.31,-5.46,-1.9,12,15,202,1008.525,1271.422,10.024,0.138,15
16,452,12 53 10.250,-60 25 59.31,2.16,1.19,13,16,452,387.03,491.829,10.04,0.17,16
18,113,12 53 25.727,-60 21 59.81,-0.15,-0.12,14,18,113,1000.612,778.213,10.142,0.146,18
19,405,12 53 38.070,-60 22 39.31,-2.84,-0.8,15,19,405,902.102,1012.814,10.174,0.121,19
20,210,12 53 53.023,-60 21 30.50,2.18,-2.98,16,20,210,1079.45,1294.84,10.204,0.159,20
21,451,12 52 53.734,-60 22 42.50,-0.09,0.56,17,21,451,885.892,173.988,10.209,0.294,21
23,203,12 53 48.203,-60 21 54.19,0.17,1.77,18,23,203,1018.891,1203.912,10.254,0.135,23
25,8,12 53 33.273,-60 24 32.94,4.67,2.73,19,25,8,611.169,923.064,10.29,0.198,25
26,224,12 53 46.117,-60 19 47.19,-0.97,-1.65,20,26,224,1342.435,1161.792,10.294,0.178,26
27,115,12 53 34.094,-60 20 59.75,0.51,-3.06,21,27,115,1155.002,935.729,10.354,0.156,27
29,410,12 53 25.617,-60 22 27.62,2.12,-1.57,22,29,410,929.628,777.26,10.723,0.226,29
30,311,12 53 58.312,-60 23 22.62,-0.05,0.98,23,30,311,794.441,1396.905,10.731,0.188,30
31,117,12 53 24.297,-60 21 30.62,0.5,-0.97,24,31,117,1074.999,750.756,10.889,0.124,31
32,228,12 54 14.539,-60 21 47.44,-0.01,-0.78,25,32,228,1039.087,1702.343,10.945,0.23,32
33,10,12 53 25.969,-60 20 47.69,3.53,-1.34,26,33,10,1184.65,781.599,10.989,0.18,33
34,332,12 53 56.672,-60 26 32.38,-0.97,-1.47,27,34,332,310.001,1368.959,11.001,0.123,34
35,326,12 54 03.625,-60 25 20.69,0.59,-0.9,28,35,326,494.083,1499.397,11.02,0.138,35
36,449,12 53 01.055,-60 23 09.44,4.13,4.86,29,36,449,818.137,313.16,11.135,0.17,36
37,214,12 53 43.227,-60 20 47.06,0.36,-1.36,30,37,214,1188.985,1108.315,11.212,0.165,37
38,138,12 53 25.438,-60 19 11.12,-0.12,-1.59,31,38,138,1431.116,769.105,11.226,0.19,38
39,404,12 53 39.422,-60 22 39.56,-0.4,1.7,32,39,404,901.576,1038.49,11.259,0.162,39
40,0,12 53 33.273,-60 24 32.94,4.67,2.73,33,40,0,610.815,928.354,11.3,0.157,40
41,220,12 54 08.625,-60 21 38.88,-0.3,4.82,34,41,220,1061.646,1589.91,11.313,0.211,41
42,0,12 53 41.352,-60 21 13.75,4.84,4.55,35,42,0,1121.077,1075.291,11.316,1.742,42
43,459,12 52 50.695,-60 25 36.25,3.08,-2.15,36,43,459,441.651,121.362,11.342,0.239,43
44,426,12 53 09.914,-60 22 27.06,1.31,0.22,37,44,426,928.461,479.999,11.353,0.186,44
45,11,12 53 22.617,-60 23 47.38,4.58,-1.73,38,45,11,725.778,722.346,11.393,0.225,45
46,107,12 53 38.211,-60 21 44.81,3.63,-2.53,39,46,107,1040.804,1014.759,11.415,0.234,46
47,402,12 53 41.812,-60 22 50.62,0.13,-8.48,40,47,402,872.804,1083.984,11.421,0.158,47
48,0,12 53 39.945,-60 23 26.62,0.07,-0.49,41,48,0,781.419,1049.506,11.424,0.176,48
49,316,12 53 43.359,-60 24 01.88,-0.32,-1.62,42,49,316,691.808,1114.753,11.452,0.161,49
50,318,12 53 47.023,-60 25 17.94,-0.81,-0.9,43,50,318,498.717,1185.22,11.475,0.125,50
51,0,12 53 29.469,-60 21 17.88,-5.05,-11.98,44,51,0,1112.883,850.171,11.52,0.193,51
52,406,12 53 37.141,-60 22 54.81,-1.03,-1.51,45,52,406,861.963,995.728,11.547,0.169,52
53,313,12 53 51.914,-60 23 54.25,-11.87,4.83,46,53,313,713.5,1274.77,11.555,0.148,53
55,0,12 54 07.172,-60 23 12.62,-0.58,-6.72,47,55,0,820.048,1563.942,11.608,0.188,55
56,215,12 53 49.414,-60 20 57.25,-0.3,-0.75,48,56,215,1164.013,1225.721,11.61,0.205,56
57,213,12 53 44.047,-60 20 57.75,0.52,0.73,49,57,213,1162.126,1124.202,11.616,0.173,57
58,139,12 53 26.500,-60 19 00.12,0.99,-2.03,50,58,139,1459.392,788.928,11.626,0.221,58
59,447,12 53 09.688,-60 24 13.25,1.09,-1.05,51,59,447,657.483,478.264,11.628,0.165,59
61,408,12 53 32.484,-60 22 38.81,0.42,0.79,52,61,408,902.266,907.162,11.64,0.208,61
62,413,12 53 26.234,-60 22 52.00,-0.58,5.84,53,62,413,868.431,789.04,11.644,0.197,62
63,453,12 53 16.594,-60 26 11.00,-0.92,0.01,54,63,453,358.086,611.441,11.647,0.345,63
64,0,12 53 53.070,-60 23 06.50,3.28,-5.98,55,64,0,833.803,1297.75,11.767,0.208,64
65,442,12 53 33.945,-60 26 21.75,0.0,0.36,56,65,442,333.617,939.658,11.768,0.156,65
