  ID     REF  V        B-V
 0001   248  18.710   0.910
 0002   248  19.790   1.550
 0003   248  19.410   1.000
 0004   248  19.070   0.800
 0005   248  20.500   1.320
 0006   248  19.770   0.930
 0007   248  19.460   1.120
 0008   248  18.580   0.900
 0009   248  18.350   0.930
 0010   248  20.240   1.560
 0011   248  18.690   0.950
 0012   248  18.250   0.820
 0013   248  19.930   1.010
 0014   248  20.560   1.220
 0015   248  20.100   1.150
 0016   248  20.600   0.950
 0017   248  15.570   1.350
 0018   248  20.490   1.100
 0019   248  20.370   1.000
 0020   248  19.070   1.080
 0021   248  21.000   1.400
 0022   248  16.130   1.010
 0023   248  20.840   1.130
 0024   248  18.720   0.850
 0025   248  20.460   0.930
 0026   248  21.120   1.440
 0027   248  18.580   0.920
 0028   248  18.970   0.900
 0029   248  20.060   0.900
 0030   248  19.780   1.070
 0031   248  20.770   1.510
 0032   248  18.870   0.810
 0033   248  20.020   1.010
 0034   248  18.020   1.010
 0035   248  20.390   1.570
 0036   248  20.970   1.240
 0037   248  18.470   0.910
 0038   248  21.010   1.200
 0039   248  18.190   0.930
 0040   248  19.580   0.810
 0041   248  18.840   1.220
 0042   248  20.300   1.250
 0043   248  20.900   1.130
 0044   248  19.340   1.290
 0045   248  17.090   0.760
 0046   248  20.580   1.050
 0047   248  21.110   1.220
 0048   248  20.790   1.070
 0049   248  19.860   1.030
 0050   248  19.730   1.030
 0051   248  20.440   1.430
 0052   248  20.230   1.100
 0053   248  19.740   1.060
 0054   248  18.360   0.880
 0055   248  19.590   1.390
 0056   248  20.330   1.400
 0057   248  18.990   1.000
 0058   248  19.280   0.920
 0059   248  17.540   0.870
 0060   248  17.560   1.150
 0061   248  18.460   0.800
 0062   248  18.170   0.780
 0063   248  16.090   1.300
 0064   248  20.940   1.210
 0065   248  17.830   1.320
 0066   248  17.860   0.970
 0067   248  18.320   0.850
 0068   248  20.800   1.230
 0069   248  18.780   1.340
 0070   248  21.160   1.340
 0071   248  20.720   1.260
 0072   248  20.140   1.130
 0073   248  18.400   0.890
 0074   248  19.580   0.950
 0075   248  19.780   0.950
 0076   248  19.920   1.210
 0077   248  20.890   1.610
 0078   248  20.430   1.450
 0079   248  16.190   1.510
 0080   248  16.750   0.740
 0081   248  18.630   1.060
 0082   248  20.150   1.160
 0083   248  19.710   1.100
 0084   248  20.820   1.110
 0085   248  20.600   1.170
 0086   248  19.890   1.430
 0087   248  14.950   1.190
 0088   248  20.370   1.320
 0089   248  17.430   0.870
 0090   248  19.810   1.280
 0091   248  20.070   1.230
 0092   248  21.060   1.240
 0093   248  20.490   1.100
 0094   248  20.650   1.170
 0095   248  20.440   0.990
 0096   248  18.210   0.940
 0097   248  15.920   0.720
 0098   248  20.210   1.050
 0099   248  19.240   0.930
 0100   248  19.260   0.880
 0101   248  17.550   1.200
 0102   248  16.990   0.630
 0103   248  16.630   0.690
 0104   248  19.510   1.110
 0105   248  19.610   0.940
 0106   248  20.980   1.390
 0107   248  18.820   1.760
 0108   248  17.410   0.650
 0109   248  18.000   0.690
 0110   248  20.900   1.160
 0111   248  18.390   0.690
 0112   248  18.900   0.800
 0113   248  17.550   0.780
 0114   248  20.730   1.090
 0115   248  17.610   0.790
 0116   248  19.820   1.080
 0117   248  18.180   0.690
 0118   248  20.770   1.410
 0119   248  16.940   0.720
 0120   248  19.970   0.850
 0121   248  16.140   0.650
 0122   248  16.770   0.620
 0123   248  19.760   1.380
 0124   248  20.550   1.150
 0125   248  16.580   1.530
 0126   248  19.440   2.090
 0127   248  17.580   1.790
 0128   248  19.710   0.930
 0129   248  17.460   0.630
 0130   248  19.900   1.120
 0131   248  20.840   1.310
 0132   248  18.320   1.090
 0133   248  19.570   1.100
