  ID     REF  V        B-V
   0001    88  15.282   0.888
   0002    88  19.472   1.319
   0003    88  20.476   1.367
   0004    88  19.509   1.123
   0005    88  20.070   1.176
   0006    88  20.367   0.960
   0007    88  17.641   1.065
   0008    88  18.136   0.889
   0009    88  20.423   0.949
   0010    88  19.395   1.202
   0011    88  20.209   1.295
   0012    88  18.767   0.911
   0013    88  21.409   1.138
   0014    88  20.232   1.058
   0015    88  20.682   2.379
   0016    88  18.405   1.048
   0017    88  21.421   1.602
   0018    88  20.209   0.989
   0019    88  18.591   1.405
   0020    88  17.137   1.047
   0021    88  19.725   1.143
   0022    88  15.987   1.860
   0023    88  19.723   1.029
   0024    88  18.607   1.017
   0025    88  19.864   0.858
   0026    88  21.363   2.441
   0027    88  19.285   1.139
   0028    88  17.741   1.019
   0029    88  17.845   0.762
   0030    88  19.356   1.139
   0031    88  16.069   0.806
   0032    88  18.861   2.161
   0033    88  20.983   0.990
   0034    88  17.409   1.224
   0035    88  20.802   1.867
   0036    88  18.833   1.141
   0037    88  17.773   1.386
   0038    88  18.590   1.315
   0039    88  20.558   0.861
   0040    88  21.021   1.135
   0041    88  18.509   1.017
   0042    88  18.439   0.867
   0043    88  18.392   0.945
   0044    88  20.799   1.950
   0045    88  17.544   1.001
   0046    88  17.622   0.946
   0047    88  19.300   0.969
   0048    88  13.678   1.289
   0049    88  18.778   0.929
   0050    88  17.983   0.985
   0051    88  19.431   1.063
   0052    88  20.083   1.372
   0053    88  19.299   0.940
   0054    88  18.263   1.019
   0055    88  14.850   1.268
   0056    88  18.040   0.998
   0057    88  17.012   1.255
   0058    88  17.542   1.288
   0059    88  20.633   1.526
   0060    88  18.986   0.875
   0061    88  16.711   1.064
   0062    88  21.263   2.436
   0063    88  22.016   2.388
   0064    88  19.194   1.103
   0065    88  17.750   1.439
   0066    88  19.746   0.893
   0067    88  19.667   0.982
   0068    88  16.305   1.255
   0069    88  20.050   1.437
   0070    88  18.824   0.994
   0071    88  17.179   0.990
   0072    88  20.113   1.014
   0073    88  18.328   1.430
   0074    88  19.985   1.189
   0075    88  18.270   0.859
   0076    88  15.724   1.385
   0077    88  21.093   2.124
   0078    88  19.732   1.169
   0079    88  19.840   1.263
   0080    88  19.890   1.566
   0081    88  18.949   1.049
   0082    88  16.920   0.970
   0083    88  18.023   0.899
   0084    88  17.608   1.130
   0085    88  18.585   0.836
   0086    88  19.993   1.028
   0087    88  17.695   0.916
   0088    88  21.427   1.684
   0089    88  18.891   1.096
   0090    88  16.586   1.071
   0091    88  20.736   2.002
   0092    88  19.179   0.868
   0093    88  20.455   1.429
   0094    88  17.515   0.958
   0095    88  19.448   1.144
   0096    88  19.864   1.062
   0097    88  14.904   1.338
   0098    88  19.393   0.832
   0099    88  18.153   1.333
   0100    88  18.473   0.897
   0101    88  19.730   1.044
   0102    88  17.074   1.045
   0103    88  20.121   1.121
   0104    88  18.349   0.991
   0105    88  19.355   1.149
   0106    88  19.189   0.795
   0107    88  20.409   1.184
   0108    88  20.853   1.650
   0109    88  16.752   0.822
   0110    88  17.624   0.891
   0111    88  17.681   0.855
   0112    88  17.636   0.914
   0113    88  19.361   0.937
   0114    88  19.216   0.636
   0115    88  15.053   0.912
   0116    88  19.820   1.365
   0117    88  20.769   1.583
   0118    88  19.824   0.955
   0119    88  19.978   1.279
   0120    88  18.761   1.245
   0121    88  18.981   1.177
   0122    88  20.053   0.885
   0123    88  21.623   2.382
   0124    88  20.432   0.876
   0125    88  20.159   0.931
   0126    88  17.688   1.280
   0127    88  21.042   1.135
   0128    88  18.422   0.910
   0129    88  19.894   1.187
   0130    88  17.914   1.040
   0131    88  17.987   1.226
   0132    88  19.982   0.809
   0133    88  15.202   1.611
   0134    88  16.863   0.818
   0135    88  20.024   1.237
   0136    88  21.316   1.228
   0137    88  17.523   0.930
   0138    88  16.182   1.099
   0139    88  19.429   1.194
   0140    88  19.838   1.796
   0141    88  19.662   1.055
   0142    88  20.043   1.349
   0143    88  18.354   1.069
   0144    88  19.086   1.232
   0145    88  21.421   1.932
   0146    88  17.569   0.769
   0147    88  21.294   1.972
   0148    88  18.839   0.980
   0149    88  16.052   1.435
   0150    88  18.591   1.393
   0151    88  19.076   0.666
   0152    88  19.890   1.646
   0153    88  18.413   1.118
   0154    88  16.655   1.269
   0155    88  19.489   1.988
   0156    88  20.329   0.953
   0157    88  19.283   0.816
   0158    88  20.531   1.236
   0159    88  16.543   1.077
   0160    88  19.657   0.828
   0161    88  19.518   0.655
   0162    88  18.828   1.169
   0163    88  17.862   0.906
   0164    88  18.858   0.796
   0165    88  20.952   0.963
   0166    88  18.646   1.015
   0167    88  19.038   0.914
   0168    88  19.724   1.057
   0169    88  18.174   1.513
   0170    88  21.301   1.073
   0171    88  21.386   1.735
   0172    88  19.176   0.877
   0173    88  18.780   0.761
   0174    88  16.750   0.968
   0175    88  18.592   0.976
   0176    88  17.902   1.280
   0177    88  19.558   1.206
   0178    88  20.797   1.755
   0179    88  16.402   1.805
   0180    88  17.939   0.995
   0181    88  20.051   1.478
   0182    88  17.895   1.007
   0183    88  18.763   0.774
   0184    88  19.250   1.008
   0185    88  20.312   0.937
   0186    88  20.023   1.501
   0187    88  19.335   1.068
   0188    88  18.668   1.112
   0189    88  18.299   1.114
   0190    88  18.805   1.056
   0191    88  19.257   0.887
   0192    88  17.942   1.019
   0193    88  19.083   0.798
   0194    88  16.862   1.136
   0195    88  19.374   2.137
   0196    88  19.003   1.050
   0197    88  21.211   1.827
   0198    88  17.659   1.016
   0199    88  16.879   1.054
   0200    88  17.309   1.115
   0201    88  20.156   0.753
   0202    88  19.213   0.739
   0203    88  18.608   0.861
   0204    88  19.235   0.997
   0205    88  18.769   1.171
   0206    88  20.344   0.827
   0207    88  20.465   1.080
   0208    88  19.611   0.848
   0209    88  16.073   0.955
   0210    88  18.177   1.205
   0211    88  20.484   1.350
   0212    88  19.453   1.154
   0213    88  19.101   0.849
   0214    88  21.364   1.823
   0215    88  17.825   0.968
