Vmag,B-V
9.873,0.4960003
11.352,0.85200024
10.116,0.6459999
9.538,0.45499992
11.095,0.70300007
9.324,0.4790001
11.151,0.7550001
7.552,0.08699989
10.817,0.43799973
9.729,0.526
7.635,0.10099983
4.822,-0.15299988
10.288,0.46799946
7.368,0.026000023
7.547,0.2750001
5.546,-0.11399984
9.121,0.41499996
8.465,0.24300003
7.262,0.015999794
8.482,0.30200005
5.17,-0.12400007
7.209,0.0089998245
6.445,-0.08300018
5.44,-0.12900019
7.818,0.09500027
10.359,0.78100014
9.651,0.4510002
7.638,0.09100008
11.595,0.31599998
