B-V,V
0.82044149,10.900357
-0.033763078,6.5425150
1.6922147,14.662077
0.80304165,15.521706
0.55985446,9.7744051
1.0717352,13.653435
1.0201442,15.226218
1.2731504,13.295667
1.1061123,12.311519
1.0798764,12.803462
1.2628944,13.652189
-0.036928708,1.9791647
0.10836449,7.9175108
0.16645444,7.6817952
0.64445235,9.7232296
0.37331778,8.8522323
1.3088023,14.426389
1.3043950,13.511678
0.76286164,15.515396
1.2959691,13.762027
0.059254817,6.5301081
1.2608322,14.324648
-0.043932718,4.1602084
0.054080834,5.1386488
1.1873091,13.828237
2.1051480,14.465232
1.5073356,15.202192
0.89793231,15.112632
1.3302666,14.629837
1.0076037,11.716709
1.2538456,12.850919
0.65992829,10.076517
0.029626719,6.6172310
0.93887128,11.525792
1.0707785,14.795841
0.96721149,12.924411
1.3439157,14.769104
1.0852986,15.071171
0.75060122,11.248048
1.2811010,13.658225
1.4759149,15.176197
0.65460540,10.549843
1.1468796,12.983735
0.42100438,8.6527671
1.9546089,14.639699
-0.14442961,5.7442415
1.8701550,14.685696
1.1972451,14.232228
1.1898528,12.836127
1.0255582,14.567792
1.2074233,12.550342
0.26013563,8.3207104
0.76687634,10.987525
-0.023039386,7.3751236
1.4703722,14.810630
-0.030710305,5.0809835
0.93073233,11.706137
1.0457324,14.548815
1.0423832,12.344936
1.1449716,14.981393
1.1224363,13.724129
1.1620672,13.173378
0.49112846,9.2835782
0.90997524,11.765341
0.91762357,12.446198
-0.0038121471,6.5776488
1.4525505,13.777686
0.34146791,8.7895454
0.022402281,6.5082856
2.2050423,14.473459
0.17127444,7.3464059
1.3135085,13.501674
1.2770352,13.225990
0.043826858,7.6306025
-0.095276296,3.4735576
0.63908841,10.693829
1.3167784,14.517100
1.0268233,15.256358
1.3259290,14.500587
1.1079751,13.884473
0.11506859,5.4613280
1.1019947,14.118569
0.62804596,10.093747
1.7527208,14.173031
1.2316051,13.290406
1.4568633,14.022626
0.66083274,10.543084
-0.0050651990,7.1319720
0.79469513,15.424628
0.48778020,9.1752526
1.3360583,14.604159
0.37199923,8.7818139
0.030494495,6.9520087
0.46373440,9.5949574
1.4864386,15.086211
1.3734124,15.509225
1.2315929,15.668796
0.65247137,10.222935
0.94150255,14.909245
0.34966385,-1.1633829
-0.085568076,3.5999521
0.85764689,11.180460
1.2842643,12.950296
1.7754213,14.805598
0.12863503,7.5237314
0.24416300,8.2849408
0.67540043,10.968377
1.4325458,-0.50272340
0.39425370,9.0928980
1.2144917,14.944762
1.3386590,13.802113
1.1582809,13.764764
-0.015142992,6.5897444
0.22062604,8.1955670
0.13662216,8.0336241
0.86438319,11.718491
0.022994818,7.5305661
1.0114183,11.965036
2.0435730,14.315549
-0.10378364,4.4114125
0.90107679,11.264992
0.68963136,11.095825
0.95272738,14.919710
1.9485150,14.417235
1.0250788,13.179221
1.3244693,13.198916
0.53317861,10.169607
0.93601291,14.087543
0.64647073,10.157167
0.30331695,8.3342586
0.93792282,11.575618
1.2832416,14.752663
1.1044525,14.255812
0.11924191,7.4517903
0.12331142,7.6072142
1.2914432,13.824687
0.71780823,10.444028
-0.0032736383,5.9597386
1.1875796,13.503405
1.2554355,13.797611
0.44052993,8.8821052
-0.15759613,6.2069474
1.8883676,14.525766
-0.0067527175,6.6766448
1.2657072,14.571797
0.95225669,14.427643
1.3427445,13.826948
0.22647819,7.4089394
1.0986798,13.903457
0.36693549,8.5930387
0.61685100,10.195415
1.2614456,14.559726
1.3437310,14.229577
0.010417506,6.9984359
1.0982509,12.179236
0.29831366,8.0042955
0.81333975,10.843992
-0.076154231,4.0614519
0.66303187,9.6623070
1.2123822,12.915869
-0.056779773,5.4563933
0.95773234,14.452121
1.2406262,14.945254
0.60423507,10.039472
1.5833857,15.007337
0.14270330,7.9691361
1.2435581,14.734583
1.3089282,14.779947
2.3929881,14.533121
0.16054800,8.0880859
0.86081177,13.588023
0.36343369,9.0860401
0.93483306,11.346028
1.1555868,12.289895
1.7185330,14.425288
0.81768970,10.634206
1.4528349,13.573806
0.75768957,10.905608
-0.11540272,6.5334417
1.2900329,13.642822
0.21355496,7.6680159
0.68492459,10.883386
0.84838503,11.121695
1.2282051,15.316805
-0.050832479,5.8098850
