Cluster,RA_ICRS,DE_ICRS,r50,nbstars07,pmRA_,pmDE,plx,Flag,AgeNN,AVNN,DMNN,X,Y,Z,Rgc,modZ,distpc
ASCC_10,51.87,34.981,0.558,65,-1.737,-1.368,1.459,NN,8.42,0.63,9.1,-573.0,258.0,-201.0,8917.0,201.0,494.31069349962473
ASCC_101,288.399,36.369,0.372,69,0.934,1.288,2.488,NN,8.69,0.19,8.08,151.0,374.0,83.0,8197.0,83.0,378.4426445511304
ASCC_105,295.548,27.366,0.648,113,1.464,-1.635,1.783,NN,7.87,0.41,8.77,259.0,504.0,20.0,8096.0,20.0,469.8942922742159
ASCC_107,297.164,21.987,0.174,57,-0.155,-5.156,1.109,NN,7.23,1.69,9.7,449.0,744.0,-28.0,7925.0,28.0,399.9447480046071
ASCC_108,298.306,39.349,0.537,188,-0.519,-1.69,0.838,NN,8.03,0.34,10.32,310.0,1110.0,122.0,8105.0,122.0,990.8315184391986
ASCC_11,53.056,44.856,0.312,245,0.926,-3.03,1.141,NN,8.39,0.6,9.69,-745.0,421.0,-139.0,9095.0,139.0,657.6575947363262
ASCC_110,300.742,33.528,0.203,65,0.271,-3.132,0.497,NN,8.9,0.75,11.47,660.0,1856.0,47.0,7900.0,47.0,1393.1569742636318
ASCC_111,302.891,37.515,0.537,136,-1.15,-1.524,1.166,NN,8.44,0.39,9.65,224.0,820.0,30.0,8157.0,30.0,711.2131200885767
ASCC_113,317.933,38.638,0.529,175,0.8,-3.679,1.762,NN,8.46,0.13,8.75,69.0,555.0,-64.0,8289.0,64.0,529.6634159773408
ASCC_114,324.99,53.997,0.216,134,-3.716,-3.421,1.066,NN,7.68,0.92,9.79,-111.0,901.0,16.0,8499.0,16.0,594.29206204441
ASCC_115,329.28,51.558,0.25,32,-0.549,-0.543,1.311,NN,8.12,0.72,9.32,-95.0,724.0,-31.0,8466.0,31.0,524.8072067145215
ASCC_12,72.4,41.744,0.303,139,-0.634,-2.794,0.941,NN,7.97,0.7,10.1,-1002.0,306.0,-34.0,9347.0,34.0,758.5777749219503
ASCC_123,340.299,53.986,1.294,49,12.093,-1.407,4.262,NN,7.65,0.0,6.81,-57.0,222.0,-16.0,8400.0,16.0,230.1441756763227
ASCC_127,347.205,64.974,0.627,117,7.474,-1.745,2.633,NN,7.26,0.43,7.88,-142.0,347.0,27.0,8490.0,27.0,309.02955003738913
ASCC_128,349.949,54.435,0.513,68,1.236,0.186,1.509,NN,8.4,0.41,9.13,-225.0,626.0,-70.0,8587.0,70.0,554.6256593698018
ASCC_13,78.255,44.417,0.609,85,-0.473,-1.743,0.898,NN,7.5,0.7,10.24,-1067.0,316.0,60.0,9412.0,60.0,809.0958849647277
ASCC_16,81.198,1.655,0.376,175,1.355,-0.015,2.838,NN,7.13,0.2,7.69,-305.0,-118.0,-108.0,8646.0,108.0,314.7749364754633
ASCC_19,81.982,-1.987,0.605,149,1.152,-1.234,2.768,NN,7.02,0.13,7.7,-296.0,-137.0,-115.0,8637.0,115.0,326.587786274129
ASCC_21,82.179,3.527,0.41,90,1.404,-0.632,2.866,NN,6.95,0.1,7.66,-307.0,-111.0,-97.0,8647.0,97.0,325.087360205515
ASCC_23,95.047,46.71,0.319,120,1.098,-0.598,1.594,NN,8.37,0.34,9.0,-595.0,132.0,156.0,8936.0,156.0,539.5104661320904
ASCC_29,103.571,-1.67,0.137,46,-1.008,-1.019,0.944,NN,7.97,0.19,10.12,-869.0,-602.0,-2.0,9229.0,2.0,968.2779923417127
ASCC_30,104.271,-6.23,0.27,46,-1.595,-0.171,0.897,NN,8.24,0.35,10.14,-827.0,-673.0,-29.0,9192.0,29.0,907.8204145553168
ASCC_32,105.714,-26.512,0.656,186,-3.307,3.477,1.23,NN,7.4,0.26,9.53,-421.0,-673.0,-132.0,8787.0,132.0,714.4960844535423
ASCC_41,116.674,0.137,0.679,123,0.646,-3.99,3.352,NN,8.33,0.0,7.39,-227.0,-185.0,64.0,8569.0,64.0,300.6075787743111
ASCC_58,153.657,-55.001,0.592,133,-13.276,2.786,2.06,NN,7.72,0.25,8.46,99.0,-480.0,10.0,8254.0,10.0,438.5306573299665
ASCC_6,26.846,57.722,0.188,111,-0.838,0.211,0.621,NN,7.54,0.72,11.01,-1027.0,1208.0,-120.0,9444.0,120.0,1142.8785656789864
ASCC_66,168.367,-55.437,0.097,22,-11.331,2.969,0.999,NN,7.77,0.07,9.94,319.0,-913.0,81.0,8072.0,81.0,941.8895468833863
ASCC_67,175.28,-61.013,0.183,26,-6.766,0.919,0.482,NN,7.57,0.58,11.5,829.0,-1818.0,24.0,7727.0,24.0,1527.566111908588
ASCC_71,185.033,-67.509,0.255,76,-9.272,-1.351,0.786,NN,8.11,0.53,10.52,631.0,-1096.0,-106.0,7786.0,106.0,995.4057495972781
ASCC_73,189.281,-67.203,0.988,57,-11.539,-2.945,1.518,NN,8.53,0.23,9.08,341.0,-556.0,-49.0,8017.0,49.0,588.8436294945624
ASCC_77,212.694,-62.331,0.179,141,-4.243,-3.22,0.842,NN,7.91,0.64,10.28,760.0,-844.0,-17.0,7626.0,17.0,847.2273620482653
ASCC_79,229.731,-60.798,0.98,113,-2.914,-4.232,1.176,NN,7.27,0.41,9.58,631.0,-529.0,-41.0,7727.0,41.0,682.3388679512935
ASCC_85,251.853,-45.555,0.357,105,0.17,-4.102,1.119,NN,7.85,0.56,9.59,778.0,-286.0,-3.0,7567.0,3.0,639.7348270538234
ASCC_87,255.658,-28.421,0.347,45,-1.18,-3.814,1.27,NN,7.92,0.57,9.45,764.0,-65.0,109.0,7575.0,109.0,597.0353180487856
ASCC_88,256.886,-35.564,0.372,121,0.919,-3.282,1.097,NN,8.39,1.45,9.85,916.0,-161.0,48.0,7425.0,48.0,478.6301658948563
ASCC_9,41.671,57.743,0.215,48,0.166,-1.099,0.406,NN,7.47,2.23,11.88,-1760.0,1594.0,-72.0,10225.0,72.0,851.1377017774279
ASCC_90,264.777,-34.874,0.388,58,-1.63,-2.681,1.713,NN,8.91,0.32,8.73,554.0,-56.0,-19.0,7785.0,19.0,480.83926186733476
ASCC_97,279.263,-19.139,0.14,20,-2.331,-6.508,1.74,manual,8.05,1.17,8.89,577.0,146.0,-57.0,7763.0,57.0,349.94528690662213
ASCC_99,282.17,-18.488,0.643,63,5.188,-1.311,3.367,NN,8.55,0.47,7.28,271.0,78.0,-38.0,8068.0,38.0,230.1441756763227
Alessi_1,13.343,49.536,0.249,45,6.536,-6.245,1.39,NN,9.16,0.08,9.19,-367.0,561.0,-159.0,8726.0,159.0,663.7431112125878
Alessi_10,301.233,-10.555,0.266,70,1.469,-7.879,2.233,NN,7.96,0.33,8.36,373.0,229.0,-168.0,7969.0,168.0,403.64534333080496
Alessi_12,310.875,23.871,0.682,307,4.303,-4.639,1.816,NN,8.13,0.1,8.68,204.0,493.0,-107.0,8150.0,107.0,519.9960924504088
Alessi_13,51.762,-35.821,1.361,48,36.332,-4.709,9.584,manual,7.55,0.1,5.11,-31.0,-49.0,-87.0,8371.0,87.0,100.46160064715295
Alessi_15,100.767,1.672,0.008,17,-0.182,0.469,0.093,NN,7.53,2.18,14.01,-5461.0,-3215.0,-121.0,14170.0,121.0,2322.7364597217875
