Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,p0,p1,p2,p3,p4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.017268,0.074,8.9,0.0900000036,1.0816895962,0.09,-3.367,3.3637,5.166,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.74E-17,0.0,0.7031,0.2796,0.003109,8.387E-4,0.007606,-1.0,0.01729,13.188,15.157,18.141,13.792
0.017268,0.074,8.9,0.09400215,1.1189565659,0.094,-3.307,3.3723,5.16,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.36E-17,0.0,0.7031,0.2796,0.003109,8.387E-4,0.007606,-1.0,0.01729,13.039,15.008,17.99,13.643
0.017268,0.074,8.9,0.099999994,1.1711063385,0.1,-3.214,3.3856,5.147,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.54E-17,0.0,0.7031,0.2796,0.003109,8.387E-4,0.007606,-1.0,0.01729,12.806,14.775,17.752,13.41
0.017268,0.074,8.9,0.1069565341,1.2267216444,0.107,-3.133,3.3967,5.14,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-7.68E-17,0.0,0.7031,0.2796,0.003109,8.387E-4,0.007606,-1.0,0.01729,12.604,14.572,17.546,13.208
0.017268,0.074,8.9,0.1200000048,1.3193155527,0.12,-2.984,3.4166,5.119,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.05E-16,0.0,0.7031,0.2796,0.003109,8.387E-4,0.007606,-1.0,0.01729,12.23,14.187,17.136,12.825
0.017268,0.074,8.9,0.1400000006,1.4384527206,0.14,-2.806,3.4378,5.093,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.5E-16,0.0,0.7031,0.2797,0.003109,8.387E-4,0.007606,-1.0,0.01729,11.784,13.49,16.048,12.169
0.017268,0.074,8.9,0.1450472176,1.4650554657,0.145,-2.77,3.4413,5.087,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.61E-16,0.0,0.703,0.2797,0.003109,8.387E-4,0.007606,-1.0,0.01729,11.696,13.359,15.854,12.046
0.017268,0.074,8.9,0.1599999964,1.5372931957,0.16,-2.667,3.4514,5.067,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.98E-16,0.0,0.703,0.2797,0.003109,8.387E-4,0.007606,-1.0,0.01729,11.438,12.982,15.3,11.69
0.017268,0.074,8.9,0.183237344,1.6336997747,0.183,-2.537,3.4628,5.041,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.57E-16,0.0,0.7029,0.2798,0.003109,8.387E-4,0.007606,-1.0,0.01729,11.113,12.526,14.646,11.263
0.017268,0.074,8.9,0.1999999881,1.6938791275,0.2,-2.453,3.4701,5.024,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.05E-16,0.0,0.7029,0.2798,0.003109,8.387E-4,0.007606,-1.0,0.01729,10.903,12.236,14.241,10.992
0.017268,0.074,8.9,0.25,1.8403258324,0.25,-2.251,3.4866,4.986,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.54E-16,0.0,0.7028,0.2799,0.003109,8.387E-4,0.007606,-1.0,0.01729,10.397,11.56,13.324,10.362
0.017268,0.074,8.9,0.3051772118,1.9631673098,0.305,-2.077,3.4992,4.948,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.4E-16,0.0,0.7029,0.2798,0.003109,8.387E-4,0.007607,-1.0,0.01729,9.963,11.012,12.626,9.848
0.017268,0.074,8.9,0.3079485595,1.9685634375,0.308,-2.068,3.4997,4.945,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.55E-16,0.0,0.7029,0.2798,0.003109,8.387E-4,0.007606,-1.0,0.01729,9.939,10.984,12.592,9.821
0.017268,0.074,8.9,0.3239444792,1.9985212088,0.324,-2.018,3.5032,4.931,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-7.26E-16,0.0,0.703,0.2797,0.003109,8.387E-4,0.007606,-1.0,0.01729,9.816,10.834,12.405,9.68
