# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Mon May 30 16:37:44 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.017268 0.07400 8.90000 0.0900000036 1.0816895962    0.090 -3.367  3.3637  5.166    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.74e-17      0.00 7.031e-01 2.796e-01 3.109e-03 8.387e-04 7.606e-03 -1.000 1.729e-02 13.188 15.157 18.141 13.792
0.017268 0.07400 8.90000 0.0940021500 1.1189565659    0.094 -3.307  3.3723  5.160    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.36e-17      0.00 7.031e-01 2.796e-01 3.109e-03 8.387e-04 7.606e-03 -1.000 1.729e-02 13.039 15.008 17.990 13.643
0.017268 0.07400 8.90000 0.0999999940 1.1711063385    0.100 -3.214  3.3856  5.147    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.54e-17      0.00 7.031e-01 2.796e-01 3.109e-03 8.387e-04 7.606e-03 -1.000 1.729e-02 12.806 14.775 17.752 13.410
0.017268 0.07400 8.90000 0.1069565341 1.2267216444    0.107 -3.133  3.3967  5.140    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.68e-17      0.00 7.031e-01 2.796e-01 3.109e-03 8.387e-04 7.606e-03 -1.000 1.729e-02 12.604 14.572 17.546 13.208
0.017268 0.07400 8.90000 0.1200000048 1.3193155527    0.120 -2.984  3.4166  5.119    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-16      0.00 7.031e-01 2.796e-01 3.109e-03 8.387e-04 7.606e-03 -1.000 1.729e-02 12.230 14.187 17.136 12.825
0.017268 0.07400 8.90000 0.1400000006 1.4384527206    0.140 -2.806  3.4378  5.093    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-16      0.00 7.031e-01 2.797e-01 3.109e-03 8.387e-04 7.606e-03 -1.000 1.729e-02 11.784 13.490 16.048 12.169
0.017268 0.07400 8.90000 0.1450472176 1.4650554657    0.145 -2.770  3.4413  5.087    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-16      0.00 7.030e-01 2.797e-01 3.109e-03 8.387e-04 7.606e-03 -1.000 1.729e-02 11.696 13.359 15.854 12.046
0.017268 0.07400 8.90000 0.1599999964 1.5372931957    0.160 -2.667  3.4514  5.067    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-16      0.00 7.030e-01 2.797e-01 3.109e-03 8.387e-04 7.606e-03 -1.000 1.729e-02 11.438 12.982 15.300 11.690
0.017268 0.07400 8.90000 0.1832373440 1.6336997747    0.183 -2.537  3.4628  5.041    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.57e-16      0.00 7.029e-01 2.798e-01 3.109e-03 8.387e-04 7.606e-03 -1.000 1.729e-02 11.113 12.526 14.646 11.263
0.017268 0.07400 8.90000 0.1999999881 1.6938791275    0.200 -2.453  3.4701  5.024    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.05e-16      0.00 7.029e-01 2.798e-01 3.109e-03 8.387e-04 7.606e-03 -1.000 1.729e-02 10.903 12.236 14.241 10.992
