B-V,V,mainseq
1.1107416,12.999174,true
0.42673706,8.7665542,true
1.9628632,16.706395,true
1.8125633,16.906182,true
1.06206,11.962806,true
1.5865217,15.658745,true
1.6406873,17.011624,true
1.4999856,15.554647,true
1.4794335,14.400957,true
1.5229475,14.887798,true
1.6318792,15.703334,true
0.35009913,5.2528382,false
0.57193472,10.172266,true
0.60477436,9.9259243,true
1.0165035,11.97534,true
0.84457108,11.124201,true
1.7301967,16.381418,true
1.5246482,15.675615,true
1.6717387,17.234826,true
1.7119072,15.778239,true
0.46472141,8.8410816,true
1.8658191,16.337305,true
0.39130984,6.8427077,false
0.40028875,7.6719565,true
1.6338724,15.92348,true
1.5576336,16.977354,true
1.7031978,17.111125,true
1.6536324,16.677654,true
1.7047388,16.859597,true
1.3882194,13.840304,true
1.5074069,15.03667,true
1.0358197,12.309618,true
0.41125479,8.9110585,true
1.258478,13.745911,true
1.6470903,16.581938,true
1.4407161,14.885631,true
1.813949,16.779668,true
1.9760446,16.791985,true
1.2370427,13.271867,true
1.7201779,15.672078,true
1.5132142,17.391684,true
1.038865,12.669929,true
1.6993358,14.993556,true
0.73988976,10.996996,true
1.946124,16.959404,true
0.29270977,8.1044257,true
1.4779944,17.044533,true
1.7064147,16.095461,true
1.551556,14.878406,true
1.7447901,16.116997,true
1.4974232,14.758315,true
0.70318672,10.6648,true
1.2287773,13.078757,true
0.52715791,9.5699417,true
1.7981994,16.965338,true
0.39325714,7.5590711,true
1.3617859,13.731749,true
1.6719594,16.243063,true
1.4532293,14.42265,true
1.8173929,16.662601,true
1.4611381,15.829351,true
1.6818511,15.180029,true
0.90488285,11.49219,true
1.3415148,13.88458,true
1.3591579,14.574181,true
0.46960308,8.8252422,true
1.8604344,15.837308,true
0.75314768,10.995758,true
0.45477341,8.7975181,true
1.7186526,17.146256,true
0.50887238,9.6434695,true
1.6623757,15.632226,true
1.5642288,15.338663,true
0.64123294,9.81337,true
0.41719554,6.2683248,false
1.1885989,12.728457,true
1.7990341,16.777824,true
1.9919504,16.786823,true
1.7799217,16.363304,true
1.6607032,15.869483,true
0.27828895,7.9751061,true
1.6594227,16.171235,true
1.0618738,12.361055,true
1.7862604,16.49295,true
1.5412657,15.364012,true
1.6598415,16.139717,true
1.1152961,12.659753,true
0.61406548,9.2737629,true
1.6367663,16.927078,true
0.73637987,11.492497,true
1.598496,16.802579,true
0.91374006,11.021976,true
0.53208045,9.1100404,true
1.0298234,11.69423,true
1.992481,16.923759,true
2.0124054,17.047517,true
1.7477096,17.166807,true
0.95871979,12.464872,true
1.7730905,16.643145,true
1.7788289,3.963751,false
0.28053005,6.5233902,false
1.2889963,13.328887,true
1.5375589,15.095508,true
1.7336873,17.237882,true
0.53759659,9.7168014,true
0.74869509,10.489454,true
1.1824792,13.042472,true
1.835017,4.2503909,false
0.93054952,11.312908,true
1.6952683,16.805309,true
1.7245839,15.76936,true
1.5975571,15.810908,true
0.39302283,8.8246997,true
0.69060282,10.450979,true
0.74466332,10.175642,true
1.3278966,13.766291,true
0.56307682,9.7337647,true
1.4277758,14.030438,true
1.8531575,17.046865,true
0.40709942,6.9495894,false
1.3237001,13.363287,true
1.3439947,13.080728,true
1.7218679,16.942136,true
1.6682512,16.66606,true
1.4628852,15.26611,true
1.6045602,15.301194,true
1.0270781,12.361284,true
1.6831987,15.953196,true
1.0853311,12.320891,true
0.76545087,10.651465,true
1.295077,13.698821,true
1.6152177,16.729635,true
1.7169695,15.982383,true
0.59564582,9.5996986,true
0.54579537,9.8522523,true
1.5280297,15.951245,true
1.1123593,12.624703,true
0.33814833,8.3562614,true
1.5851085,15.674548,true
1.7107903,15.89924,true
0.85934019,11.142325,true
0.4020495,8.4907351,true
1.7648291,16.935318,true
0.29887173,9.0587239,true
1.6793539,16.529404,true
1.7757325,16.221218,true
1.5812477,15.885135,true
0.55714386,9.6622891,true
1.682258,16.023015,true
0.76647791,10.831966,true
1.071237,12.369375,true
1.7333876,16.485853,true
1.5802421,16.270096,true
0.4420639,9.2597504,true
1.5015217,14.192808,true
0.76014584,10.261891,true
1.1972098,12.987565,true
0.37711374,6.7250405,false
0.98517408,11.892725,true
1.5102482,15.098213,true
0.38056159,7.8724529,true
1.679016,16.341695,true
1.6651702,17.013278,true
0.9440234,12.204997,true
1.7735382,17.204356,true
0.64031021,10.173482,true
1.6772705,16.708446,true
1.7800732,16.741947,true
1.674106,17.287751,true
0.71207299,10.280247,true
1.6052347,15.429174,true
0.89796767,11.295817,true
1.355248,13.391752,true
1.4652301,14.471508,true
1.7234674,16.748811,true
1.1620536,12.845368,true
1.7730993,15.571238,true
