Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,p0,p1,p2,p3,p4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,BP-RP,mainseq
0.0152,0.01508,8.6,0.0900000036,1.0816895962,0.09,-3.207,3.3787,5.066,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-7.72E-17,0.0,0.7092,0.2755,0.002746,7.408E-4,0.006719,-1.0,0.01527,12.786,14.738,17.708,13.376,4.332,true
0.0152,0.01508,8.6,0.0975678489,1.1504625082,0.098,-3.126,3.3922,5.074,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-8.83E-17,0.0,0.7092,0.2755,0.002746,7.408E-4,0.006719,-1.0,0.01527,12.585,14.537,17.51,13.174,4.3360004,true
0.0152,0.01508,8.6,0.1000000015,1.1711064577,0.1,-3.101,3.3965,5.077,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.21E-17,0.0,0.7092,0.2755,0.002746,7.408E-4,0.006719,-1.0,0.01527,12.522,14.475,17.449,13.112,4.336999,true
0.0152,0.01508,8.6,0.1060784832,1.2199648619,0.106,-3.043,3.4055,5.081,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.01E-16,0.0,0.7092,0.2755,0.002746,7.408E-4,0.006719,-1.0,0.01527,12.379,14.331,17.307,12.968,4.338999,true
0.0152,0.01508,8.6,0.1104052737,1.2525784969,0.11,-3.0,3.4119,5.081,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.1E-16,0.0,0.7092,0.2756,0.002746,7.408E-4,0.006719,-1.0,0.01527,12.271,14.224,17.199,12.86,4.3389997,true
0.0152,0.01508,8.6,0.1200000122,1.3193155527,0.12,-2.908,3.4256,5.079,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.3E-16,0.0,0.7091,0.2756,0.002746,7.408E-4,0.006719,-1.0,0.01527,12.04,13.885,16.686,12.538,4.1480007,true
0.0152,0.01508,8.6,0.1228733435,1.3379631042,0.123,-2.886,3.4282,5.078,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.36E-16,0.0,0.7091,0.2756,0.002746,7.408E-4,0.006719,-1.0,0.01527,11.985,13.795,16.539,12.454,4.084999,true
0.0152,0.01508,8.6,0.1400000006,1.4384527206,0.14,-2.746,3.4436,5.057,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.8E-16,0.0,0.7091,0.2756,0.002746,7.408E-4,0.006719,-1.0,0.01527,11.636,13.258,15.719,11.95,3.769,true
0.0152,0.01508,8.6,0.1599999964,1.5372931957,0.16,-2.623,3.4565,5.043,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.27E-16,0.0,0.7091,0.2757,0.002746,7.408E-4,0.006719,-1.0,0.01527,11.328,12.8,15.033,11.521,3.512,true
0.0152,0.01508,8.6,0.200000003,1.6938791275,0.2,-2.424,3.4749,5.015,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.31E-16,0.0,0.709,0.2757,0.002746,7.408E-4,0.006719,-1.0,0.01527,10.83,12.102,14.039,10.871,3.1679993,true
0.0152,0.01508,8.6,0.25,1.8403258324,0.25,-2.228,3.4914,4.981,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-4.83E-16,0.0,0.709,0.2757,0.002746,7.408E-4,0.006719,-1.0,0.01527,10.34,11.444,13.143,10.261,2.882,true
0.0152,0.01508,8.6,0.3000000119,1.9529139996,0.3,-2.077,3.5025,4.954,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-6.46E-16,0.0,0.709,0.2757,0.002746,7.408E-4,0.006719,-1.0,0.01527,9.962,10.971,12.543,9.818,2.7250004,true
0.0152,0.01508,8.6,0.3467924595,2.0381288528,0.347,-1.944,3.5127,4.925,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-8.4E-16,0.0,0.7092,0.2756,0.002746,7.408E-4,0.006719,-1.0,0.01527,9.631,10.56,12.028,9.433,2.5950003,true
0.0152,0.01508,8.6,0.3500000238,2.0434176922,0.35,-1.936,3.5133,4.923,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-8.55E-16,0.0,0.7092,0.2755,0.002746,7.408E-4,0.006719,-1.0,0.01527,9.609,10.533,11.995,9.408,2.587,true
0.0152,0.01508,8.6,0.3609717786,2.0610420704,0.361,-1.901,3.5159,4.912,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.24E-16,0.0,0.7092,0.2755,0.002746,7.408E-4,0.006719,-1.0,0.01527,9.522,10.426,11.863,9.309,2.554,true
0.0152,0.01508,8.6,0.4000000358,2.1185026169,0.4,-1.784,3.5248,4.875,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.2E-15,0.0,0.7092,0.2755,0.002746,7.408E-4,0.006719,-1.0,0.01527,9.23,10.072,11.431,8.977,2.4539995,true
0.0152,0.01508,8.6,0.4500000477,2.1822810173,0.45,-1.633,3.5366,4.822,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.7E-15,0.0,0.7092,0.2755,0.002746,7.408E-4,0.006719,-1.0,0.01527,8.852,9.618,10.886,8.553,2.3329992,true
0.0152,0.01508,8.6,0.5,2.2374541759,0.5,-1.472,3.5519,4.769,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.48E-15,0.0,0.7092,0.2755,0.002746,7.408E-4,0.006719,-1.0,0.01527,8.45,9.125,10.289,8.098,2.191,true
0.0152,0.01508,8.6,0.5168204904,2.2541468143,0.517,-1.421,3.5576,4.755,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.78E-15,0.0,0.7094,0.2754,0.002744,7.404E-4,0.006714,-1.0,0.01526,8.323,8.963,10.091,7.951,2.1399994,true
0.0152,0.01508,8.6,0.5500000119,2.2836582661,0.55,-1.316,3.5703,4.728,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.54E-15,0.0,0.71,0.2748,0.002738,7.387E-4,0.0067,-1.0,0.01522,8.061,8.624,9.671,7.646,2.0249996,true
0.0152,0.01508,8.6,0.6000000238,2.3211214542,0.6,-1.156,3.5933,4.697,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.09E-15,0.0,0.7102,0.2746,0.002737,7.384E-4,0.006697,-1.0,0.01519,7.659,8.098,9.021,7.179,1.842,true
0.0152,0.01508,8.6,0.6499999762,2.3520355225,0.65,-0.998,3.619,4.677,0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-7.19E-15,0.0,0.7103,0.2745,0.002736,7.381E-4,0.006694,-1.0,0.01525,7.264,7.581,8.387,6.725,1.6620002,true
