Nome,_RAJ2000,_DEJ2000,GLON,GLAT
NGC_6791,290.22083,290.22083,69.95,10.9
Berkeley_56,319.4,319.4,86.0,-5.2
Berkeley_92,321.20417,321.20417,97.93,5.01
Berkeley_102,354.66667,354.66667,113.01,-4.82
Berkeley_99,350.35417,350.35417,115.95,10.13
Berkeley_8,30.2375,30.2375,127.34,13.21
Gaia_2,28.125,28.125,132.15,-8.74
NGC_1193,46.4875,46.4875,146.82,-12.16
King_8,87.325,87.325,176.38,3.1
Berkeley_23,98.30833,98.30833,192.59,5.38
Berkeley_29,103.26667,103.26667,197.94,7.98
NGC_2420,114.6,114.6,198.11,19.64
Berkeley_22,89.61667,89.61667,199.88,-8.07
Berkeley_20,83.15417,83.15417,203.49,-17.37
Berkeley_31,104.40417,104.40417,206.23,5.13
Dolidze_25,101.25833,101.25833,212.0,-1.33
Czernik_26,97.74583,97.74583,214.35,-6.45
Berkeley_73,95.52083,95.52083,215.26,-9.39
NGC_2204,93.89583,93.89583,226.01,-16.09
Berkeley_25,100.3125,100.3125,226.6,-9.63
Gaia_1,101.47083,101.47083,227.34,-8.75
Auner_1,106.0625,106.0625,231.99,-6.15
Tombaugh_2,105.775,105.775,232.83,-6.88
Berkeley_75,102.25417,102.25417,234.3,-11.18
NGC_2243,97.39583,97.39583,239.48,-18.01
Haffner_18,118.1625,118.1625,243.15,0.44
AM_2,114.67917,114.67917,248.12,-5.88
Melotte_66,111.59583,111.59583,259.56,-14.24
FSR_1419,124.725,124.725,264.05,-6.61
UKS_2,141.32083,141.32083,276.0,-3.0
ESO_92-5,150.80833,150.80833,286.18,-7.5
ESO_92-18,153.74167,153.74167,287.12,-6.65
ESO_96-4,198.81667,198.81667,305.36,-3.16
