#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2022-07-08T00:50:59 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62c77f2d143f3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/AJ/157/12&tab:{J/AJ/157/12/table3}&key:source=J/AJ/157/12/table3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/157/12/table3
#-order=I
#-out=GLON
#-out=GLAT
#-out=RAJ2000
#-out=DEJ2000
#-out=Diam-a
#-out=Diam-b
#-out=Name
#-out=Class1
#-out=Class2
#

#RESOURCE=yCat_51570012
#Name: J/AJ/157/12
#Title: Star clusters, associations, & candidates in the MW (Bica+, 2019)
#Table	J_AJ_157_12_table3:
#Name: J/AJ/157/12/table3
#Title: Clusters, candidates and alike objects
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	RAJ2000	(A8)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Diam-a	(F7.2)	[0.01/4560] Major axis diameter	[ucd=phys.angSize]
#Column	Diam-b	(F7.2)	[0.01/2400] Minor axis diameter	[ucd=phys.angSize]
#Column	Name	(a112)	Chronologically ordered cross-identified designation(s)	[ucd=meta.id.cross]
#Column	Class1	(a5)	Object type (G1)	[ucd=src.class]
#Column	Class2	(A5)	Possible second object type (G1)	[ucd=src.class]
_RAJ2000|_DEJ2000|GLON|GLAT|RAJ2000|DEJ2000|Diam-a|Diam-b|Name|Class1|Class2
deg|deg|deg|deg|"h:m:s"|"d:m:s"|arcmin|arcmin| | |
---------|---------|------|------|--------|---------|-------|-------|----------------------------------------------------------------------------------------------------------------|-----|-----
267.67917|-29.60611|  0.00| -1.30|17 50 43|-29 36 22|   4.00|   4.00|Minni 40,Minniti 40                                                                                             |GCC  |
268.28750|-29.90556|  0.01| -1.90|17 53 09|-29 54 20|   2.00|   1.50|AL 2,Andrews-Lindsay 2,ESO 456-5,MWSC 2734                                                                      |OC   |
267.73333|-29.61083|  0.02| -1.34|17 50 56|-29 36 39|   4.00|   4.00|Minni 56,Minniti 56                                                                                             |GCC  |
267.82083|-29.65111|  0.02| -1.43|17 51 17|-29 39 04|   1.00|   1.00|VVV 151,VVV-CL 151                                                                                              |OC   |
263.09167|-27.06139|  0.03|  3.47|17 32 22|-27 03 41|   6.00|   6.00|FSR 1,MWSC 2622                                                                                                 |OCC  |GCC
266.71250|-29.06306|  0.03| -0.29|17 46 51|-29 03 47|   1.50|   0.90|DB 1,Dutra-Bica 1                                                                                               |OCC  |
275.46250|-33.21056|  0.04| -8.85|18 21 51|-33 12 38|   4.00|   4.00|Ruprecht 140,OCL 1,ESO 395-1,MWSC 2899                                                                          |Ast  |
264.37500|-27.76028|  0.05|  2.14|17 37 30|-27 45 37|   2.00|   2.00|Ryu 152                                                                                                         |OC   |
263.13333|-27.06444|  0.05|  3.44|17 32 32|-27 03 52|   4.00|   4.00|FSR 2,MWSC 2623                                                                                                 |OCC  |GCC
267.10833|-29.22806|  0.07| -0.68|17 48 26|-29 13 41|   1.10|   1.10|Ryu 536                                                                                                         |EC   |
284.88750|-36.63167|  0.07|-17.30|18 59 33|-36 37 54|  17.00|  17.00|NGC 6723,GCL 106,ESO 396-10,FSR 3,MWSC 3033                                                                     |GC   |
266.66250|-28.99750|  0.07| -0.22|17 46 39|-28 59 51|   1.50|   1.50|Cmg 447                                                                                                         |EC   |
273.34167|-32.24167|  0.08| -6.82|18 13 22|-32 14 30|  36.00|  36.00|Alessi J1813.3-3214                                                                                             |Ast  |
261.72917|-26.18972|  0.09|  4.97|17 26 55|-26 11 23|   1.80|   1.80|Ryu 537                                                                                                         |OC   |
265.68750|-28.44000|  0.09|  0.80|17 42 45|-28 26 24|   3.50|   3.50|Cmg 449                                                                                                         |EC   |
266.51667|-28.87889|  0.10| -0.05|17 46 04|-28 52 44|   0.60|   0.60|Ryu 153                                                                                                         |OC   |
261.29583|-25.90750|  0.11|  5.45|17 25 11|-25 54 27|   1.70|   1.50|Bica 8                                                                                                          |EC   |
267.00833|-29.11444|  0.11| -0.54|17 48 02|-29 06 52|   0.80|   0.80|DB 2,Dutra-Bica 2                                                                                               |OCC  |Ast
266.14167|-28.66444|  0.11|  0.34|17 44 34|-28 39 52|   0.35|   0.35|VVV 142,VVV-CL 142                                                                                              |OCC  |
266.45833|-28.82222|  0.12|  0.01|17 45 50|-28 49 20|   0.70|   0.70|Arches,Object 17,BDB 1,MWSC 2684                                                                                |EC   |
265.80833|-28.47250|  0.12|  0.69|17 43 14|-28 28 21|   4.00|   4.00|Minni 58,Minniti 58                                                                                             |GCC  |
