Cluster,RVmean,e_RVmean,Nsel,RA_ICRS,DE_ICRS,Flag,AgeNN,DistPc,Apo,Peri,Ecc,Maxheight,Energy,vx,vy,vz,vr,vphi,Rgal,phi,Xgal,Ygal,Zgal,HQS,SimbadName,_RA_icrs,_DE_icrs
ASCC_10,-15.61,4.35,3,51.87,34.981,NN,8.42,649.0,8.6301,10.0929,0.0781,0.2053,-44379.3887,27.2261,246.9891,5.7271,-20.1694,-247.6652,8.9076,178.3653,-8903.9783,254.1001,-169.2481,0,[KPR2005] 10,51.87,34.981
ASCC_101,-15.05,2.58,16,288.399,36.369,NN,8.7,407.0,7.9761,8.3858,0.025,0.1198,-51289.2049,2.8181,239.8034,3.6912,7.9985,-239.6865,8.1989,177.4154,-8190.5264,369.7187,108.411,1,[KPR2005] 101,288.399,36.369
ASCC_105,-6.93,1.36,19,295.548,27.366,NN,7.88,558.0,8.0563,8.4625,0.0246,0.0511,-50619.5763,9.6459,245.4149,1.5029,5.4018,-245.545,8.1004,176.4889,-8085.2085,496.0812,46.2612,1,[KPR2005] 105,295.548,27.366
ASCC_108,-29.67,19.6,2,298.306,39.349,NN,8.04,1129.0,6.6975,8.111,0.0954,0.1455,-56035.0412,12.0676,221.5689,1.9415,17.58,-221.1998,8.1097,172.3384,-8037.2568,1081.1917,145.4841,0,[KPR2005] 108,298.306,39.349
ASCC_11,-14.44,0.32,3,53.056,44.856,NN,8.42,848.0,8.7697,9.2884,0.0287,0.1115,-46234.8714,19.5999,235.8133,1.8977,-8.8888,-236.4595,9.0786,177.4015,-9069.2416,411.5929,-106.56,1,[KPR2005] 11,53.056,44.856
ASCC_110,9.94,9.9,4,300.742,33.528,NN,8.94,1893.0,7.6925,9.3557,0.0976,0.1551,-49107.237,35.7311,254.4366,-9.5764,22.5468,-255.9421,7.9089,166.9717,-7705.3377,1782.9242,70.4666,0,[KPR2005] 110,300.742,33.528
ASCC_111,-22.81,3.26,2,302.891,37.515,NN,8.42,829.0,7.2463,8.2307,0.0636,0.1043,-54198.3201,12.3056,228.2602,6.9286,10.1065,-228.3681,8.1607,174.3801,-8121.4403,799.1551,56.0319,0,[KPR2005] 111,302.891,37.515
ASCC_113,-4.34,0.91,13,317.933,38.638,NN,8.48,557.0,8.2898,8.8219,0.0311,0.039,-48980.7087,16.0672,246.3284,-0.3686,0.283,-246.8516,8.2898,176.2024,-8271.5521,549.0503,-37.1374,1,[KPR2005] 113,317.933,38.638
ASCC_12,-78.65,31.86,2,72.4,41.744,NN,7.98,1024.0,9.3236,11.5095,0.1049,0.0247,-44784.8229,84.1189,221.063,-1.4381,-76.9749,-223.6509,9.3235,178.1593,-9318.7064,299.474,-3.6527,0,[KPR2005] 12,72.4,41.744
ASCC_123,-2.47,1.35,6,340.299,53.986,NN,7.65,228.0,8.3692,8.5858,0.0128,0.011,-48276.3847,1.4316,246.6463,-0.1313,5.0356,-246.5991,8.3996,178.4976,-8396.692,220.2271,10.7189,1,[KPR2005] 123,340.299,53.986
ASCC_127,-13.76,0.73,20,347.205,64.974,NN,7.27,372.0,8.39,8.4881,0.0058,0.0591,-50237.5315,5.9229,235.9191,-1.6578,3.6188,-235.9657,8.4879,177.6832,-8480.9362,343.1177,54.9093,1,[KPR2005] 127,347.205,64.974
ASCC_128,-14.91,5.88,1,349.949,54.435,NN,8.42,657.0,8.3656,8.6475,0.0166,0.1169,-49272.378,12.5605,236.9194,8.0302,4.4419,-237.2105,8.5832,175.8925,-8561.1583,614.7996,-41.8488,0,[KPR2005] 128,349.949,54.435
ASCC_13,32.37,4.55,1,78.255,44.417,NN,7.52,1088.0,9.0141,9.387,0.0203,0.0896,-39372.8803,-21.95,255.9162,1.8865,30.3496,-255.0565,9.3865,178.1165,-9381.4172,308.5145,89.6258,0,[KPR2005] 13,78.255,44.417
ASCC_16,20.64,0.17,168,81.198,1.655,NN,7.14,341.0,8.6159,8.6433,0.0016,0.087,-47256.1704,-7.3476,243.9389,2.6042,4.053,-244.0158,8.6429,-179.2263,-8642.1415,-116.7091,-79.5087,1,[KPR2005] 16,81.198,1.655
ASCC_19,22.82,0.27,56,81.982,-1.987,NN,7.03,342.0,8.5999,8.6344,0.002,0.086,-48105.2429,-7.5373,240.6776,0.3795,3.7493,-240.7664,8.6339,-179.0984,-8632.8195,-135.8547,-85.8656,1,[KPR2005] 19,81.982,-1.987
ASCC_21,19.3,2.73,37,82.179,3.527,NN,6.96,338.0,8.6314,8.6458,8.0E-4,0.081,-47256.2901,-6.0109,243.9173,3.1848,2.8941,-243.9742,8.6455,-179.268,-8644.7686,-110.4557,-68.5666,1,[KPR2005] 21,82.179,3.527
ASCC_23,-13.3,1.38,9,95.047,46.71,NN,8.37,619.0,8.6412,10.0449,0.0751,0.2215,-44474.032,23.5714,246.4659,6.0362,-19.978,-246.7832,8.9256,179.1652,-8924.6916,130.0421,182.9958,1,[KPR2005] 23,95.047,46.71
ASCC_30,36.34,0.13,1,104.271,-6.23,NN,8.24,1036.0,8.7171,9.1755,0.0256,0.0146,-46709.1071,-18.733,231.6392,-1.0118,2.1742,-232.3853,9.1668,-175.9125,-9143.4957,-653.4063,0.9128,0,[KPR2005] 30,104.271,-6.23
ASCC_32,36.45,2.07,10,105.714,-26.512,NN,7.41,790.0,8.5714,8.7791,0.012,0.1011,-49073.8151,-22.026,231.5901,-4.0542,4.5325,-232.591,8.7785,-175.6835,-8753.6224,-660.729,-101.1311,1,[KPR2005] 32,105.714,-26.512
ASCC_41,-10.1,0.33,23,116.674,0.137,NN,8.33,297.0,8.2352,10.2393,0.1085,0.1141,-45026.5489,21.842,254.0524,3.2852,-27.276,-253.5265,8.5665,-178.7733,-8564.5796,-183.4013,91.1663,1,[KPR2005] 41,116.674,0.137
ASCC_58,12.13,0.7,12,153.657,-55.001,NN,7.73,485.0,7.9089,8.2556,0.0215,0.0658,-52128.5804,-14.6722,234.2738,-4.2756,1.1725,-234.7298,8.2555,-176.7025,-8241.8349,-474.8575,37.3723,1,[KPR2005] 58,153.657,-55.001
