Nome,_RAJ2000,_DEJ2000,GLON,GLAT,DIAM
NGC_6791,290.22083,37.76944,69.95,10.9,14.0
Berkeley_56,319.4,41.83194,86.0,-5.2,8.0
Berkeley_92,321.20417,57.53056,97.93,5.01,4.0
Berkeley_102,354.66667,56.64361,113.01,-4.82,6.0
Berkeley_99,350.35417,71.77083,115.95,10.13,7.0
Berkeley_8,30.2375,75.49167,127.34,13.21,10.0
Gaia_2,28.125,53.04,132.15,-8.74,3.8
NGC_1193,46.4875,44.3825,146.82,-12.16,4.0
King_8,87.325,33.63611,176.38,3.1,5.0
Berkeley_23,98.30833,20.53056,192.59,5.38,3.5
Berkeley_29,103.26667,16.92917,197.94,7.98,3.5
NGC_2420,114.6,21.56889,198.11,19.64,11.0
Berkeley_22,89.61667,7.75306,199.88,-8.07,3.0
Berkeley_20,83.15417,0.18611,203.49,-17.37,5.0
Berkeley_31,104.40417,8.28472,206.23,5.13,4.5
Dolidze_25,101.25833,0.22167,212.0,-1.33,10.0
Czernik_26,97.74583,-4.19861,214.35,-6.45,5.0
Berkeley_73,95.52083,-6.31639,215.26,-9.39,4.5
NGC_2204,93.89583,-18.6625,226.01,-16.09,13.0
Berkeley_25,100.3125,-16.48472,226.6,-9.63,6.0
Gaia_1,101.47083,-16.75,227.34,-8.75,13.0
Auner_1,106.0625,-19.75417,231.99,-6.15,3.5
Tombaugh_2,105.775,-20.81944,232.83,-6.88,5.0
Berkeley_75,102.25417,-23.99611,234.3,-11.18,4.0
NGC_2243,97.39583,-31.28639,239.48,-18.01,7.0
Haffner_18,118.1625,-26.38194,243.15,0.44,2.0
AM_2,114.67917,-33.84444,248.12,-5.88,4.0
Melotte_66,111.59583,-47.67167,259.56,-14.24,10.0
FSR_1419,124.725,-47.79222,264.05,-6.61,5.0
UKS_2,141.32083,-54.71944,276.0,-3.0,3.0
ESO_92-5,150.80833,-64.75139,286.18,-7.5,4.5
ESO_92-18,153.74167,-64.6125,287.12,-6.65,4.0
ESO_96-4,198.81667,-65.92083,305.36,-3.16,2.0
UBC_615,104.88,33.154,183.41,15.98
UBC_624,119.227,7.984,213.165,18.176
UBC_648,142.543,-34.136,266.222,12.378
