source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,non_single_star,labels,prob
2942689734687465856,93.76204368455096,-18.598620785642083,-0.5769147824323383,0.05666335,1.9904878924535465,0.07247783,0.7704544,17.182999,0.27906834395421437,0.06901742,,,225.90044854957347,-16.188623091064322,1.0370538,436,45,43,0,0,1.0
2942691139138624640,93.78709927748736,-18.593423744129986,-0.6050827211621388,0.07290821,1.8894336035147565,0.092839465,0.7977333,17.624512,0.24960135368859818,0.08928374,,,225.90546992347493,-16.164796767146914,0.9834319,441,44,46,0,0,1.0
2942691280875677184,93.80258811309315,-18.57570994135304,-0.5761743351543701,0.04486099,1.939316085541629,0.05769715,0.6629505,16.831482,0.1305607362223025,0.055344306,,,225.89476205079035,-16.144216860586138,0.9865185,474,50,50,0,0,1.0
2942691315235410304,93.81765268920572,-18.565360172122872,-0.6302156615362781,0.042748492,1.895935961303433,0.05121334,0.64772797,16.656857,0.1612484646442486,0.04963976,,,225.89090338782233,-16.12697439900089,0.9416147,450,46,47,0,0,1.0
2941922928406484864,93.96837453635689,-18.75560425270444,-0.609590000934534,0.030480068,1.99581576090866,0.03750114,0.40325642,15.948645,0.23313505699247186,0.03560158,,,226.13204735629387,-16.073068995680917,1.003524,415,47,45,0,0,1.0
2941922962766216192,93.97574685170873,-18.744163236564585,-0.5857134722796596,0.030827153,1.9441830050795534,0.03763534,0.56066704,16.003437,0.22389906000788792,0.035454385,,,226.12408292992518,-16.06206630682544,1.0133867,429,49,47,0,0,1.0
2941922962766222208,93.97219999665917,-18.7561802576235,-0.6339065457985158,0.02863989,1.9074735561221527,0.03604117,0.5474777,15.825208,0.2418379080338535,0.032028604,,,226.13411622281933,-16.069986661401703,0.9950027,412,46,47,0,0,1.0
2941922997125947136,94.00360175748624,-18.745939619148817,-0.5853374552359649,0.037893277,1.9964991758850155,0.047369808,0.622736,16.58923,0.18427666733247478,0.04482745,,,226.13684720063998,-16.0386472578909,0.9961569,474,51,51,0,0,1.0
2941923031485679872,94.01038330520755,-18.732734619563868,-0.5706261609072651,0.023235943,1.9967292391493574,0.029253392,0.62733364,15.202257,0.21798759293219275,0.025701603,,,226.12697216491324,-16.027442917995813,1.1029975,418,46,45,0,0,1.0
2941932991511094016,93.86048817258937,-18.76743496651819,-0.5622998197993075,0.030702606,1.9584379865241144,0.042876907,0.54710007,16.034609,0.19835801898225336,0.03817814,,,226.10045343934232,-16.171324648889602,0.98305595,410,44,41,0,0,1.0
2941932995809856640,93.86218639797666,-18.773147093449154,-0.575614522099204,0.019039422,1.9650755289047908,0.026074018,0.6350546,14.967374,0.19272894297905757,0.023333268,,,226.1065713474902,-16.17215433868373,0.9348337,415,44,47,0,0,1.0
2941933064529319808,93.93255291956622,-18.780141354576273,-0.5424412370511178,0.038979597,1.969478426766677,0.050071158,0.6011152,16.369915,0.18825678974873097,0.04519245,,,226.14118449572524,-16.114000140853676,1.0204186,403,43,40,0,0,1.0
