source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,parallax,parallax_error,radial_velocity,radial_velocity_error,l,b,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,non_single_star,labels,prob,rradec
865396950497755264,114.59745457741872,21.527629944389478,-1.0855476249816947,0.07475755,-2.2235481090608875,0.06305845,1.0338249,16.9582,0.34400973469576157,0.067505926,,,198.15262039283172,19.618072896524048,0.9805176,229,25,23,0,0,1.0,0.0482488010112441
865396950497759104,114.58928492882502,21.520977178830627,-1.34653462140907,0.058285344,-2.047517893843273,0.04850096,0.80894756,16.478035,0.36584517241007697,0.05306988,,,198.1560893175399,19.608515679246768,0.90716934,235,22,23,0,0,1.0,0.05661138710337629
865396980560910848,114.61419070042935,21.529696725508387,-1.4213068510309872,0.1730718,-1.6104597488757244,0.1567744,1.1577721,18.329262,0.3885002935010553,0.1643171,,,198.1568671876687,19.63326004477373,1.0412897,209,23,22,0,0,1.0,0.046292353458584644
865396980560914944,114.60385549059893,21.534971687172735,-1.1684648596057037,0.08791306,-2.1868959660183407,0.07510773,0.8896713,17.071474,0.30490277120199394,0.081755646,,,198.14781042050558,19.62636912576408,1.0371029,218,22,25,0,0,1.0,0.04025191263142965
865396984857485440,114.61781098919285,21.53085711789127,-1.2934012220962803,0.042328145,-2.0445754195728343,0.037197698,0.6684294,15.710303,0.4169571095002027,0.037861597,,,198.1570850572744,19.63681611880986,1.0009677,204,22,23,0,0,1.0,0.04597871197310488
865396984857488000,114.61277228347471,21.528057080204835,-1.2011490121702328,0.021303933,-2.08614237242518,0.01790291,0.6703062,14.1192465,0.3738426355793565,0.019098975,81.10516,8.505338,198.1579457121745,19.631416813932244,1.0127121,227,23,23,0,0,1.0,0.047670671927465755
865396984857488128,114.61311374927406,21.52734379758464,-0.9701114398817468,0.26555353,-2.1209659055053782,0.29723537,0.9742489,18.411898,0.45824718044784246,0.2290389,,,198.1587743534312,19.631439819185328,1.0619624,167,12,13,0,0,1.0,0.04842774135839013
865396984857490560,114.60488979630695,21.530558571060716,-1.1649431803663999,0.09791805,-2.0984237737500826,0.08260706,0.919796,17.310028,0.39207959417236415,0.088556804,,,198.1525326677218,19.625583398104133,1.0074154,220,25,24,0,0,1.0,0.044632764686068076
865398389310186240,114.63432195997832,21.53155437911664,-1.10418196848156,0.08794752,-2.0996352397999924,0.07565665,1.0313473,17.131763,0.3767676817139115,0.080907546,,,198.16259147065747,19.65128971386812,1.0201524,213,23,21,0,0,1.0,0.05223448148087571
865398389312424576,114.6345171038012,21.532498745131242,-1.2932635140231574,0.113403864,-1.9735137853666624,0.09825749,0.9684391,17.56101,0.3180503785127076,0.10831108,,,198.16173693278446,19.65181614623322,1.0371417,211,14,12,0,0,1.0,0.051557460333870646
865398393606749440,114.62998144737215,21.539188374980093,-1.251056095856803,0.039286856,-1.9788198494672877,0.033571664,0.6459055,15.602946,0.39256445096373427,0.035955865,,,198.1534646801963,19.650452330033282,0.9563712,220,25,23,0,0,1.0,0.04347517659379252
865398427966475264,114.64634219064057,21.545510471555378,-1.1515548197161403,0.026246654,-2.092576544427388,0.021800233,0.5658493,14.663969,0.4394897907002338,0.023125032,,,198.15338699180884,19.666931032343186,0.93272823,226,22,19,0,0,1.0,0.05040102267341859
865398427966478336,114.64013191038485,21.546926338884564,-1.2360718138143474,0.033450134,-2.0108450890213314,0.028165676,0.60158825,15.237985,0.39873622415033516,0.029929556,,,198.14966801240757,19.662124171977233,0.9508827,215,23,23,0,0,1.0,0.044618434700084066
865398427966483200,114.6442735723521,21.53446544109379,-1.3004865707951243,0.027703544,-2.0458172271251778,0.024280958,0.5723028,14.775511,0.3424583161543281,0.026439235,,,198.16346296061835,19.66095892977449,1.0422126,211,23,22,0,0,1.0,0.05615616683064278
865398458029329280,114.62610981641612,21.54195083754884,-1.2021232565986253,0.023209363,-2.0770744207823606,0.019607697,0.64656925,14.305273,0.36054627070249085,0.021124002,61.93045,19.906597,198.14929942531208,19.648169256803563,1.0318109,211,25,22,0,0,1.0,0.03905206852768932
865396881778276992,114.60963229746208,21.521049726160925,-1.1568592846743764,0.024954297,-2.105348961980367,0.020637507,0.6149559,14.573254,0.42612649010772746,0.022734601,,,198.163650423363,19.62605361112294,0.9944033,233,24,24,0,0,1.0,0.05428561551773352
865396916138014848,114.61157706782261,21.520301162069885,-1.2803121418713088,0.03770895,-2.0845195627582136,0.031048968,0.6044073,15.272656,0.3977159189256214,0.035034396,,,198.16511507420452,19.627442980393248,1.1639589,226,24,25,0,0,1.0,0.05520859925293929
865396950497754112,114.60080428488816,21.52774120314655,-1.0590841929437007,0.10652075,-1.9649679714855304,0.09159671,0.97995186,17.512602,0.36160486220702176,0.09582389,,,198.15376745682022,19.620997726037064,1.0165908,222,23,23,0,0,1.0,0.04768653180656842
865398462326224768,114.62954578190487,21.542127185908956,-1.177942833978984,0.10838475,-2.088978552373065,0.09433285,0.99310875,17.539095,0.4340659427132825,0.098759815,,,198.1504143455814,19.65119295607142,1.0687375,214,22,22,0,0,1.0,0.04081786131443043
865398462326227200,114.62230852527885,21.543749663456154,-1.3700420447217678,0.01627366,-1.8673438725805112,0.013606186,1.1198578,13.214974,0.40414701562504746,0.014779875,72.75717,2.3733108,198.14610724005723,19.64558098342901,0.95220137,211,23,22,0,0,1.0,0.03559888777316999
865398462326231168,114.61398586534573,21.54442943669647,-1.2585415724499402,0.045396786,-2.082232415691024,0.03876406,0.6826916,15.893654,0.41846961472722655,0.040971838,,,198.14231926522024,19.638677302124492,1.0328202,218,22,24,0,0,1.0,0.031878032721247826
865398462326233216,114.61054887748162,21.542739127831183,-1.3210150729501646,0.020774536,-1.9912925353348614,0.016621903,0.6545229,13.843971,0.39000879549088396,0.018500198,,,198.1426909878396,19.635078055032228,1.0168741,199,25,25,0,0,1.0,0.03282123029334134
865398492389066240,114.62371551513401,21.551062803054887,-0.9211815520613716,0.02865659,-2.033704057985496,0.024189165,0.58133507,14.620565,0.37996309905431486,0.026259694,,,198.13945059350993,19.64956760477744,1.1574044,209,23,23,0,0,1.0,0.030165527656287387
865398492389416960,114.63305586678709,21.552663728710048,-1.1238069340845007,0.17681496,-1.9707881586833285,0.16328347,1.2481804,18.4724,0.4041551312097022,0.16730414,,,198.1413789139935,19.65821253379747,0.96664935,215,23,22,0,0,1.0,0.035508777727850147
865398492389423360,114.63243327133848,21.560246940081882,0.7857190798235069,0.09901189,-4.736870906843681,0.086784,0.9255791,17.42669,0.31595530313057424,0.09378541,,,198.13369533620312,19.66055456047669,1.0252451,226,24,23,0,0,1.0,0.030708399272863483
865398496685951744,114.63336297129275,21.55797332846018,-1.2661921160742564,0.07943058,-1.8763942011858832,0.068213895,1.0427723,17.023924,0.4634405851996395,0.0701659,,,198.1362775375875,19.66049176123397,0.94576555,228,24,24,0,0,1.0,0.03266276832636975
865398496685952896,114.6354878988709,21.554538223878037,-1.2012408251408964,0.06006628,-2.1054923181621845,0.051956974,0.74596024,16.532822,0.36506561805804205,0.0540555,,,198.1404488495826,19.661016661341243,1.0114774,238,23,23,0,0,1.0,0.03632351736715765
865398496685953536,114.63310608585836,21.556235486403146,-1.1332358570985734,0.01939872,-2.0437581260671025,0.016030224,0.7163973,13.888921,0.378628445514266,0.017070549,84.54111,9.193394,198.13788863808327,19.659611230059323,1.000523,219,24,23,0,0,1.0,0.03339917651912261
865398496685954560,114.62870495272671,21.55857425823969,-1.2059260770407982,0.055734478,-2.030968522991674,0.048417892,0.7484665,16.353384,0.3848253927641595,0.05247412,,,198.13394139072122,19.656711703154446,0.9848709,228,24,24,0,0,1.0,0.028453801854904183
865398496685956864,114.63141905507042,21.551474479241296,-1.2746690922837018,0.095330276,-2.0998992804408076,0.08438232,0.92962456,17.383804,0.32386316596645043,0.09099339,,,198.1419337601529,19.656352717887,0.96341616,221,24,22,0,0,1.0,0.03505233351926614
865398496685958400,114.63483003972384,21.545575059042946,-1.3681838288271386,0.05266186,-2.0515242719540883,0.04557903,0.73233795,16.24185,0.370878670436152,0.050100297,,,198.14900813189152,19.657048904152568,1.0542485,229,26,24,0,0,1.0,0.04160506783333191
865398496685960320,114.62323783396099,21.553549309463097,-1.2364996598662326,0.049358632,-2.1458112922355133,0.04190197,0.6744852,15.852566,0.38879286890636305,0.044989638,,,198.1368288445792,19.65010031827366,1.103764,215,22,22,0,0,1.0,0.027912420200169735
865398526748804480,114.64593279677786,21.551341345515027,-1.302649073889272,0.022819674,-2.1475963621068255,0.019156761,0.6215792,14.304318,0.3787569856403166,0.020579195,97.89891,8.688127,198.1475045899394,19.668791444150212,1.0889188,225,25,25,0,0,1.0,0.04685092471309057
865398526749158656,114.65606223031449,21.557445833666765,-1.2932712221384233,0.2597197,-2.2686323309994236,0.23125695,1.3627338,19.018057,0.476491220265311,0.23557809,,,198.14530269764268,19.67982424244396,0.954083,223,23,23,0,0,1.0,0.05348637832557856
865398561108540416,114.65527599046712,21.56385341593804,-1.323555225268255,0.02143908,-1.927856243977161,0.017890893,0.66030025,14.211442,0.37638525887887364,0.019281406,74.36254,8.090513,198.138711707011,19.681578585387143,0.9826565,227,25,26,0,0,1.0,0.0509488377535017
865398565405419648,114.65975729893339,21.560760987539364,-1.2334453387656552,0.050329134,-1.9300536911114126,0.043215968,0.7302742,16.181305,0.39415999528755824,0.04562772,,,198.14342970957173,19.684261587231415,0.92354643,236,23,21,0,0,1.0,0.05604207096678158
