#B-V  V
       1.2045327       12.559566
      0.70045279       8.9837857
       1.5821156       15.913256
       1.5408050       15.910005
       1.0239421       11.734744
       1.5152425       14.765510
       1.4782592       15.981344
       1.4111751       14.757466
       1.3219828       13.841890
       1.3036858       14.254406
       1.4269158       14.980585
       1.3148433       7.4722844
      0.74462963       10.235656
      0.68797283       10.129417
      0.95449937       11.743730
      0.84425492       11.042479
       1.5816369       15.413882
       1.4612285       14.941702
       1.6734054       16.056852
       1.4491694       14.972135
      0.50044216       9.1628454
       1.4853055       15.485721
       1.3330081       8.0085225
      0.60558445       8.2079947
       1.5616270       15.083034
       1.6255377       15.935644
       1.6008251       15.990409
       1.6323039       15.743607
       1.5593451       15.811243
       1.2448497       13.328955
       1.2824172       14.442572
      0.93640510       12.045125
      0.63986781       9.0504682
       1.1955437       13.239457
       1.6778723       15.565617
       1.3440986       14.256524
       1.4133319       15.860335
       1.6313660       16.056827
       1.2329785       12.820912
       1.4003419       14.992994
       1.5723807       16.282189
       1.0989823       12.324337
       1.4088473       14.355552
      0.70543838       10.986229
       1.4725868       16.140994
      0.63923179       8.4478540
       1.5211539       16.115337
       1.4169954       15.279705
       1.3829941       14.279608
       1.4794049       15.364139
       1.4359405       14.111541
      0.67775511       10.725294
      0.99261379       12.703839
      0.68138344       9.8000530
       1.4526134       16.049664
      0.71094348       8.1445004
       1.2064815       13.290778
       1.5586020       15.336376
       1.3049048       13.849627
       1.3469794       15.889131
       1.4520020       14.969233
       1.3504358       14.646451
      0.89174026       11.384252
       1.1821630       13.467232
       1.3193891       13.934561
      0.66921568       9.0519415
       1.4597577       15.025176
      0.84768619       10.951305
      0.56949104       9.0168237
       1.5113934       16.166191
      0.61356097       9.8083621
       1.4495443       14.817598
       1.4472969       14.701059
      0.71485717       9.9705638
       1.3460487       7.7560106
       1.0559613       12.492245
       1.5002327       15.773199
       1.6675156       15.954265
       1.5007529       15.614262
       1.4822642       15.015667
      0.58603670       8.4266566
       1.5704681       15.258080
       1.0354287       12.044253
       1.5232050       15.579845
