B-V  V
       1.1107416       12.999174
      0.42673706       8.7665542
       1.9628632       16.706395
       1.8125633       16.906182
       1.0620600       11.962806
       1.5865217       15.658745
       1.6406873       17.011624
       1.4999856       15.554647
       1.4794335       14.400957
       1.5229475       14.887798
       1.6318792       15.703334
      0.35009913       5.2528382
      0.57193472       10.172266
      0.60477436       9.9259243
       1.0165035       11.975340
      0.84457108       11.124201
       1.7301967       16.381418
       1.5246482       15.675615
       1.6717387       17.234826
       1.7119072       15.778239
      0.46472141       8.8410816
       1.8658191       16.337305
      0.39130984       6.8427077
      0.40028875       7.6719565
       1.6338724       15.923480
       1.5576336       16.977354
       1.7031978       17.111125
       1.6536324       16.677654
       1.7047388       16.859597
       1.3882194       13.840304
       1.5074069       15.036670
       1.0358197       12.309618
      0.41125479       8.9110585
       1.2584780       13.745911
       1.6470903       16.581938
       1.4407161       14.885631
       1.8139490       16.779668
       1.9760446       16.791985
       1.2370427       13.271867
       1.7201779       15.672078
       1.5132142       17.391684
       1.0388650       12.669929
       1.6993358       14.993556
      0.73988976       10.996996
       1.9461240       16.959404
      0.29270977       8.1044257
       1.4779944       17.044533
       1.7064147       16.095461
       1.5515560       14.878406
       1.7447901       16.116997
       1.4974232       14.758315
      0.70318672       10.664800
       1.2287773       13.078757
      0.52715791       9.5699417
       1.7981994       16.965338
      0.39325714       7.5590711
       1.3617859       13.731749
       1.6719594       16.243063
       1.4532293       14.422650
       1.8173929       16.662601
       1.4611381       15.829351
       1.6818511       15.180029
      0.90488285       11.492190
       1.3415148       13.884580
       1.3591579       14.574181
      0.46960308       8.8252422
       1.8604344       15.837308
      0.75314768       10.995758
      0.45477341       8.7975181
       1.7186526       17.146256
      0.50887238       9.6434695
       1.6623757       15.632226
       1.5642288       15.338663
      0.64123294       9.8133700
      0.41719554       6.2683248
       1.1885989       12.728457
       1.7990341       16.777824
       1.9919504       16.786823
       1.7799217       16.363304
       1.6607032       15.869483
      0.27828895       7.9751061
       1.6594227       16.171235
       1.0618738       12.361055
       1.7862604       16.492950
       1.5412657       15.364012
       1.6598415       16.139717
       1.1152961       12.659753
      0.61406548       9.2737629
       1.6367663       16.927078
      0.73637987       11.492497
       1.5984960       16.802579
      0.91374006       11.021976
      0.53208045       9.1100404
       1.0298234       11.694230
       1.9924810       16.923759
       2.0124054       17.047517
       1.7477096       17.166807
      0.95871979       12.464872
       1.7730905       16.643145
       1.7788289       3.9637510
      0.28053005       6.5233902
       1.2889963       13.328887
       1.5375589       15.095508
       1.7336873       17.237882
      0.53759659       9.7168014
      0.74869509       10.489454
       1.1824792       13.042472
       1.8350170       4.2503909
      0.93054952       11.312908
       1.6952683       16.805309
       1.7245839       15.769360
       1.5975571       15.810908
      0.39302283       8.8246997
      0.69060282       10.450979
      0.74466332       10.175642
       1.3278966       13.766291
      0.56307682       9.7337647
       1.4277758       14.030438
       1.8531575       17.046865
      0.40709942       6.9495894
       1.3237001       13.363287
       1.3439947       13.080728
       1.7218679       16.942136
       1.6682512       16.666060
       1.4628852       15.266110
       1.6045602       15.301194
       1.0270781       12.361284
       1.6831987       15.953196
       1.0853311       12.320891
      0.76545087       10.651465
       1.2950770       13.698821
       1.6152177       16.729635
       1.7169695       15.982383
      0.59564582       9.5996986
      0.54579537       9.8522523
       1.5280297       15.951245
       1.1123593       12.624703
      0.33814833       8.3562614
       1.5851085       15.674548
       1.7107903       15.899240
      0.85934019       11.142325
      0.40204950       8.4907351
       1.7648291       16.935318
      0.29887173       9.0587239
       1.6793539       16.529404
       1.7757325       16.221218
       1.5812477       15.885135
      0.55714386       9.6622891
       1.6822580       16.023015
      0.76647791       10.831966
       1.0712370       12.369375
       1.7333876       16.485853
       1.5802421       16.270096
      0.44206390       9.2597504
       1.5015217       14.192808
      0.76014584       10.261891
       1.1972098       12.987565
      0.37711374       6.7250405
      0.98517408       11.892725
       1.5102482       15.098213
      0.38056159       7.8724529
       1.6790160       16.341695
       1.6651702       17.013278
      0.94402340       12.204997
       1.7735382       17.204356
      0.64031021       10.173482
       1.6772705       16.708446
       1.7800732       16.741947
       1.6741060       17.287751
      0.71207299       10.280247
       1.6052347       15.429174
      0.89796767       11.295817
       1.3552480       13.391752
       1.4652301       14.471508
       1.7234674       16.748811
       1.1620536       12.845368
       1.7730993       15.571238
       1.2524418       12.975101
      0.39351250       8.7398307
       1.5901454       15.767511
      0.69999577       9.8678057
       1.1016703       12.968189
       1.2176958       13.211876
       1.7615718       17.125326
      0.43400171       8.1138373
       1.6856606       15.373488
      0.95615642       11.650580
      0.39598417       8.4332831
       1.0124538       11.852401
       1.7909968       16.455603
       1.5704968       15.437164
       1.6390969       16.674109
       1.4538238       13.854270
       1.4672486       14.566499
       1.2648481       12.965675
       1.7235339       15.580804
      0.44219289       8.5073808
       1.4594434       15.029282
       1.4915414       14.962041
       1.6260439       16.157726
      0.64545000       9.6152125
       1.2377612       13.586600
       1.3936372       14.260184
      0.47660555       7.9640806
       1.8136731       16.499018
       1.0678598       13.082349
       1.8709574       16.734553
       1.6566924       16.258269
       1.1742762       13.340345
       1.6063411       16.709213
       1.4129604       13.747414
       1.6295967       15.580963
       1.5655393       14.812247
      0.97369245       12.138329
       1.6339479       16.217563
      0.94136656       11.983832
       1.9776556       16.622644
       1.3275624       17.467560
